Country,Export,Import,Total Trade,Trade Balance,Financial Year(start),Mean
UNION OF SERBIA & MONTENEGRO,,,,,2019,0.0
ST KITT N A,,,,,2000,0.0
PACIFIC IS,,,,,2008,0.0
GUERNSEY,,,,,2018,0.0
GUERNSEY,,,,,2019,0.0
GUERNSEY,,,,,2020,0.0
COCOS IS,,,,,1998,0.0
CHANNEL IS,,,,,2014,0.0
WALLIS F IS,0,0.1,0.1,-0.1,2013,0.0
WALLIS F IS,0,,,,2021,0.0
US MINOR OUTLYING ISLANDS,0,0.08,0.09,-0.08,2022,0.0049999999999999975
UNION OF SERBIA & MONTENEGRO,0,,,,2017,0.0
TUVALU,0,0,0,0,2018,0.0
TUVALU,0,,,,2019,0.0
TUVALU,0,,,,2020,0.0
TOKELAU IS,0,0.01,0.02,-0.01,2009,0.005
TOKELAU IS,0,0,0,0,2014,0.0
TOKELAU IS,0,0.02,0.02,-0.02,2018,0.0
TOKELAU IS,0,0.08,0.08,-0.08,2019,0.0
SVALLBARD AND J,0,,,,2019,0.0
ST PIERRE,0,,,,2000,0.0
ST PIERRE,0,0.02,0.02,-0.02,2008,0.0
ST PIERRE,0,,,,2014,0.0
SINT MAARTEN (DUTCH PART),0,,,,2016,0.0
SINT MAARTEN (DUTCH PART),0,,,,2020,0.0
SAO TOME,0,,,,2000,0.0
SAN MARINO,0,0.64,0.64,-0.64,2013,0.0
SAHARWI A.DM RP,0,,,,2010,0.0
SAHARWI A.DM RP,0,,,,2013,0.0
SAHARWI A.DM RP,0,,,,2015,0.0
SAHARWI A.DM RP,0,,,,2016,0.0
SAHARWI A.DM RP,0,,,,2018,0.0
SAHARWI A.DM RP,0,,,,2019,0.0
PITCAIRN IS.,0,0,0,0,2005,0.0
PACIFIC IS,0,,,,1999,0.0
NIUE IS,0,,,,2005,0.0
NIUE IS,0,0.06,0.07,-0.06,2009,0.0050000000000000044
NIUE IS,0,0,0.01,0,2011,0.005
NIUE IS,0,,,,2020,0.0
NEUTRAL ZONE,0,,,,1997,0.0
NEUTRAL ZONE,0,,,,1998,0.0
NAURU RP,0,21.03,21.03,-21.03,2012,0.0
N. MARIANA IS.,0,,,,2012,0.0
JERSEY,0,,,,2017,0.0
HEARD MACDONALD,0,0.03,0.03,-0.03,2008,0.0
HEARD MACDONALD,0,0,0,0,2009,0.0
HEARD MACDONALD,0,0.16,0.16,-0.16,2012,0.0
GREENLAND,0,,,,1997,0.0
GREENLAND,0,0.05,0.05,-0.05,2006,0.0
GREENLAND,0,,,,2018,0.0
GREENLAND,0,,,,2022,0.0
FR S ANT TR,0,,,,1998,0.0
FR S ANT TR,0,,,,2000,0.0
FR S ANT TR,0,,,,2003,0.0
FR S ANT TR,0,0,0.01,0,2008,0.005
FR S ANT TR,0,,,,2009,0.0
FR S ANT TR,0,0.01,0.01,-0.01,2010,0.0
FAROE IS.,0,0.08,0.08,-0.08,1998,0.0
FALKLAND IS,0,,,,1998,0.0
FALKLAND IS,0,1.44,1.44,-1.44,2012,0.0
FALKLAND IS,0,1.75,1.75,-1.74,2015,0.0050000000000000044
FALKLAND IS,0,,,,2018,0.0
FALKLAND IS,0,,,,2021,0.0
CURACAO,0,,,,2017,0.0
COOK IS,0,0.03,0.03,-0.02,2006,0.004999999999999999
COOK IS,0,,,,2022,0.0
COCOS IS,0,0.05,0.05,-0.04,2008,0.005000000000000001
COCOS IS,0,,,,2020,0.0
CHRISTMAS IS.,0,0.01,0.02,-0.01,2019,0.005
CANARY IS,0,,,,2013,0.0
ANTARTICA,0,4.84,4.84,-4.83,2014,0.004999999999999893
ANTARTICA,0,1.11,1.11,-1.1,2015,0.0050000000000000044
ANTARTICA,0,0.03,0.04,-0.03,2018,0.005000000000000001
ANGUILLA,0,,,,2022,0.0
AMERI SAMOA,0,0.01,0.01,-0.01,2022,0.0
WALLIS F IS,0.01,,,,2016,0.0
VATICAN CITY,0.01,0.02,0.03,-0.01,2022,0.009999999999999998
TUVALU,0.01,,,,1997,0.0
TUVALU,0.01,,,,1999,0.0
TUVALU,0.01,0.01,0.02,0.01,2011,0.015
TUVALU,0.01,,,,2012,0.0
ST PIERRE,0.01,0,0.02,0.01,1999,0.015
ST PIERRE,0.01,,,,2001,0.0
ST PIERRE,0.01,,,,2017,0.0
ST PIERRE,0.01,,,,2018,0.0
ST KITT N A,0.01,,,,1999,0.0
ST KITT N A,0.01,,,,2001,0.0
ST HELENA,0.01,0.08,0.09,-0.07,2009,0.009999999999999995
ST HELENA,0.01,0.03,0.04,-0.02,2017,0.01
SINT MAARTEN (DUTCH PART),0.01,,,,2017,0.0
SAO TOME,0.01,,,,1999,0.0
SAHARWI A.DM RP,0.01,,,,2000,0.0
SAHARWI A.DM RP,0.01,,,,2004,0.0
SAHARWI A.DM RP,0.01,,,,2005,0.0
SAHARWI A.DM RP,0.01,,,,2007,0.0
SAHARWI A.DM RP,0.01,,,,2017,0.0
SAHARWI A.DM RP,0.01,,,,2021,0.0
PITCAIRN IS.,0.01,,,,2012,0.0
PITCAIRN IS.,0.01,0.22,0.23,-0.22,2017,0.0050000000000000044
PITCAIRN IS.,0.01,0.03,0.05,-0.02,2018,0.015000000000000001
PANAMA C Z,0.01,0.45,0.46,-0.44,2016,0.010000000000000009
PANAMA C Z,0.01,,,,2017,0.0
PANAMA C Z,0.01,,,,2019,0.0
PALAU,0.01,0.01,0.03,0,2009,0.015
PACIFIC IS,0.01,,,,2003,0.0
PACIFIC IS,0.01,,,,2012,0.0
NORFOLK IS,0.01,0.07,0.08,-0.06,2022,0.010000000000000002
NIUE IS,0.01,,,,2001,0.0
NIUE IS,0.01,,,,2002,0.0
NIUE IS,0.01,0.04,0.05,-0.03,2007,0.010000000000000002
NIUE IS,0.01,,,,2008,0.0
NIUE IS,0.01,0,0.01,0.01,2010,0.01
NIUE IS,0.01,0.02,0.03,-0.01,2013,0.009999999999999998
NEUTRAL ZONE,0.01,,,,2008,0.0
NAURU RP,0.01,1.69,1.7,-1.67,2004,0.015000000000000013
NAURU RP,0.01,0.18,0.2,-0.17,2005,0.015
NAURU RP,0.01,5.76,5.77,-5.75,2015,0.009999999999999787
N. MARIANA IS.,0.01,0.03,0.04,-0.02,2016,0.01
MONTSERRAT,0.01,,,,1997,0.0
MONTSERRAT,0.01,0,0.01,0.01,2022,0.01
MICRONESIA,0.01,0,0.01,0.01,2003,0.01
MICRONESIA,0.01,,,,2005,0.0
HEARD MACDONALD,0.01,0.11,0.12,-0.1,2006,0.009999999999999995
HEARD MACDONALD,0.01,,,,2007,0.0
GRENADA,0.01,,,,1997,0.0
GREENLAND,0.01,0.01,0.02,0,2017,0.01
FR S ANT TR,0.01,,,,2007,0.0
FR S ANT TR,0.01,0.02,0.03,-0.02,2012,0.004999999999999999
FR POLYNESIA,0.01,,,,1998,0.0
FAROE IS.,0.01,0.04,0.05,-0.04,2000,0.005000000000000001
FALKLAND IS,0.01,0.01,,,2002,0.0
CURACAO,0.01,,,,2015,0.0
COCOS IS,0.01,0.02,0.03,-0.02,2009,0.004999999999999999
COCOS IS,0.01,0,0.01,0,2013,0.005
CHRISTMAS IS.,0.01,0.06,0.07,-0.06,2013,0.0050000000000000044
CHRISTMAS IS.,0.01,0.08,0.09,-0.07,2014,0.009999999999999995
CHRISTMAS IS.,0.01,0.03,0.04,-0.03,2021,0.005000000000000001
CANARY IS,0.01,,,,2011,0.0
CANARY IS,0.01,,,,2012,0.0
BELIZE,0.01,,,,1997,0.0
ANTARTICA,0.01,,,,2004,0.0
ANDORRA,0.01,0.02,0.03,-0.02,1997,0.004999999999999999
WALLIS F IS,0.02,,,,2000,0.0
WALLIS F IS,0.02,,,,2002,0.0
WALLIS F IS,0.02,,,,2012,0.0
WALLIS F IS,0.02,,,,2019,0.0
WALLIS F IS,0.02,0,0.02,0.02,2020,0.02
TUVALU,0.02,,,,1998,0.0
TUVALU,0.02,,,,2002,0.0
TIMOR LESTE,0.02,,,,1997,0.0
STATE OF PALEST,0.02,,,,2017,0.0
ST HELENA,0.02,0,0.02,0.02,2016,0.02
ST HELENA,0.02,0.07,0.09,-0.06,2018,0.015
PITCAIRN IS.,0.02,,,,1999,0.0
PITCAIRN IS.,0.02,0,0.02,0.02,2004,0.02
PITCAIRN IS.,0.02,0.02,0.04,0,2019,0.02
PALAU,0.02,,,,2003,0.0
PALAU,0.02,3.7,3.71,-3.68,2015,0.014999999999999902
PACIFIC IS,0.02,,,,1997,0.0
PACIFIC IS,0.02,,,,2004,0.0
PACIFIC IS,0.02,,,,2013,0.0
NIUE IS,0.02,,,,2004,0.0
NAURU RP,0.02,7.43,7.45,-7.41,2000,0.020000000000000018
NAURU RP,0.02,0.75,0.77,-0.73,2006,0.020000000000000018
NAURU RP,0.02,10.19,10.21,-10.17,2014,0.020000000000000462
N. MARIANA IS.,0.02,,,,2006,0.0
N. MARIANA IS.,0.02,,,,2011,0.0
MONTSERRAT,0.02,,,,2001,0.0
MONTSERRAT,0.02,0.02,,,2017,0.0
MACEDONIA,0.02,1.49,1.52,-1.47,1997,0.025000000000000022
LIECHTENSTEIN,0.02,0.03,0.05,-0.01,1998,0.02
LIECHTENSTEIN,0.02,0.03,0.04,-0.01,2000,0.015
KIRIBATI REP,0.02,0.02,,,1999,0.0
GREENLAND,0.02,,,,2002,0.0
FR S ANT TR,0.02,0.01,0.03,0.01,1997,0.02
FR S ANT TR,0.02,,,,2011,0.0
FALKLAND IS,0.02,,,,1997,0.0
FALKLAND IS,0.02,,,,2000,0.0
EQUTL GUINEA,0.02,,,,1999,0.0
COCOS IS,0.02,,,,1997,0.0
COCOS IS,0.02,,,,2016,0.0
CHRISTMAS IS.,0.02,0,0.02,0.02,2011,0.02
CHANNEL IS,0.02,,,,2011,0.0
CHANNEL IS,0.02,,,,2013,0.0
CAPE VERDE IS,0.02,,,,1997,0.0
CAPE VERDE IS,0.02,,,,1999,0.0
CAPE VERDE IS,0.02,,,,2000,0.0
CANARY IS,0.02,,,,2014,0.0
ANTARTICA,0.02,0.08,0.1,-0.05,2019,0.025
ANGUILLA,0.02,,,,2013,0.0
ANGUILLA,0.02,0.01,0.02,0.01,2015,0.015
ANDORRA,0.02,,,,1999,0.0
ANDORRA,0.02,0.01,0.03,0.01,2020,0.02
VATICAN CITY,0.03,0.09,0.12,-0.06,2018,0.03
VATICAN CITY,0.03,0.18,0.21,-0.15,2019,0.03
VATICAN CITY,0.03,,,,2021,0.0
TUVALU,0.03,,,,2000,0.0
TUVALU,0.03,0,0.04,0.03,2003,0.035
TUVALU,0.03,1.42,1.45,-1.39,2014,0.030000000000000027
TOKELAU IS,0.03,0.01,0.05,0.02,2008,0.035
TOKELAU IS,0.03,0.06,0.09,-0.03,2012,0.03
TOKELAU IS,0.03,0.01,0.05,0.02,2016,0.035
ST PIERRE,0.03,0,0.04,0.03,1998,0.035
ST PIERRE,0.03,0,0.03,0.03,2013,0.03
ST HELENA,0.03,0.1,0.13,-0.06,2012,0.035
ST HELENA,0.03,0.09,0.12,-0.07,2013,0.024999999999999994
SAO TOME,0.03,,,,2001,0.0
SAHARWI A.DM RP,0.03,,,,1998,0.0
SAHARWI A.DM RP,0.03,,,,2014,0.0
PITCAIRN IS.,0.03,0,0.04,0.03,2007,0.035
PITCAIRN IS.,0.03,0.03,,,2008,0.0
PALAU,0.03,0,0.03,0.02,2013,0.025
PALAU,0.03,,,,2022,0.0
NAURU RP,0.03,,,,2022,0.0
N. MARIANA IS.,0.03,,,,2004,0.0
MICRONESIA,0.03,0.02,0.05,0.01,2006,0.030000000000000002
LIECHTENSTEIN,0.03,0.35,0.38,-0.32,2022,0.03
HEARD MACDONALD,0.03,,,,2013,0.0
HEARD MACDONALD,0.03,,,,2018,0.0
GUERNSEY,0.03,0.23,0.27,-0.2,2017,0.035
GREENLAND,0.03,,,,2019,0.0
FR S ANT TR,0.03,,,,2002,0.0
FALKLAND IS,0.03,,,,2005,0.0
COOK IS,0.03,,,,2001,0.0
COOK IS,0.03,0.01,0.03,0.02,2002,0.025
COOK IS,0.03,,,,2009,0.0
CHRISTMAS IS.,0.03,0.08,0.11,-0.05,2012,0.03
ANDORRA,0.03,0.07,0.1,-0.04,1998,0.030000000000000002
AMERI SAMOA,0.03,0,0.03,0.03,2018,0.03
WALLIS F IS,0.04,1.02,1.05,-0.98,2014,0.03500000000000003
VATICAN CITY,0.04,0.02,0.06,0.02,2016,0.04
ST VINCENT,0.04,,,,1999,0.0
ST PIERRE,0.04,,,,2012,0.0
ST KITT N A,0.04,,,,1997,0.0
ST HELENA,0.04,0,0.04,0.04,2000,0.04
ST HELENA,0.04,0.07,0.11,-0.03,2011,0.04
SAHARWI A.DM RP,0.04,,,,2020,0.0
PALAU,0.04,0.01,0.05,0.03,2010,0.04
PALAU,0.04,,,,2012,0.0
PALAU,0.04,0,0.04,0.03,2016,0.035
PACIFIC IS,0.04,,,,2009,0.0
NIUE IS,0.04,0.01,0.05,0.03,2012,0.04
NIUE IS,0.04,0,0.04,0.04,2015,0.04
N. MARIANA IS.,0.04,0.17,0.21,-0.13,2017,0.039999999999999994
MONTSERRAT,0.04,,,,2012,0.0
HEARD MACDONALD,0.04,,,,2004,0.0
HEARD MACDONALD,0.04,,,,2017,0.0
GREENLAND,0.04,0.01,0.06,0.03,2004,0.045
FR POLYNESIA,0.04,,,,2000,0.0
FAROE IS.,0.04,,,,2001,0.0
FAROE IS.,0.04,,,,2022,0.0
FALKLAND IS,0.04,0.04,,,2001,0.0
FALKLAND IS,0.04,0.77,0.8,-0.73,2009,0.03500000000000003
FALKLAND IS,0.04,1.35,1.39,-1.31,2010,0.039999999999999925
COOK IS,0.04,,,,2000,0.0
COOK IS,0.04,0.08,0.12,-0.04,2010,0.039999999999999994
COOK IS,0.04,,,,2021,0.0
CHRISTMAS IS.,0.04,15.74,15.78,-15.7,2006,0.040000000000000036
CANARY IS,0.04,,,,2007,0.0
ANGUILLA,0.04,0,0.04,0.04,2016,0.04
ANGUILLA,0.04,0.1,0.14,-0.05,2019,0.045000000000000005
WALLIS F IS,0.05,0.02,0.06,0.03,2007,0.045
WALLIS F IS,0.05,0.01,0.06,0.04,2017,0.05
VATICAN CITY,0.05,0,0.06,0.05,2015,0.055
TURKS C IS,0.05,0.08,0.13,-0.02,2010,0.055
TOKELAU IS,0.05,0.08,0.12,-0.03,2007,0.045
TOKELAU IS,0.05,0.01,0.05,0.04,2011,0.045
ST VINCENT,0.05,,,,1998,0.0
ST PIERRE,0.05,0.05,,,2009,0.0
ST KITT N A,0.05,0.02,0.08,0.03,1998,0.055
SAN MARINO,0.05,0.33,0.37,-0.28,2014,0.044999999999999984
SAHARWI A.DM RP,0.05,,,,1999,0.0
PITCAIRN IS.,0.05,0,0.05,0.05,2002,0.05
PITCAIRN IS.,0.05,0,0.05,0.05,2016,0.05
PALAU,0.05,,,,2004,0.0
PALAU,0.05,0,0.06,0.05,2019,0.055
PACIFIC IS,0.05,,,,2010,0.0
NIUE IS,0.05,,,,1999,0.0
NEUTRAL ZONE,0.05,,,,1999,0.0
NAURU RP,0.05,2.27,2.32,-2.22,2002,0.04999999999999982
N. MARIANA IS.,0.05,,,,2005,0.0
MICRONESIA,0.05,0.02,0.07,0.03,2007,0.05
MARSHALL ISLAND,0.05,0,0.05,0.05,2004,0.05
KIRIBATI REP,0.05,0.17,0.22,-0.12,2003,0.05
HEARD MACDONALD,0.05,,,,2005,0.0
FR POLYNESIA,0.05,,,,1999,0.0
FR GUIANA,0.05,0.4,0.44,-0.35,2005,0.04500000000000001
FALKLAND IS,0.05,,,,2004,0.0
EQUTL GUINEA,0.05,,,,1997,0.0
COOK IS,0.05,,,,2012,0.0
COOK IS,0.05,,,,2015,0.0
COCOS IS,0.05,,,,2012,0.0
CHRISTMAS IS.,0.05,0.01,0.06,0.04,2001,0.05
CHANNEL IS,0.05,,,,2008,0.0
CAPE VERDE IS,0.05,,,,2003,0.0
BR VIRGN IS,0.05,0.48,0.53,-0.43,2022,0.05000000000000002
ANTIGUA,0.05,,,,1998,0.0
ANTARTICA,0.05,,,,2005,0.0
ANGUILLA,0.05,,,,2009,0.0
ANGUILLA,0.05,0.07,0.12,-0.02,2014,0.049999999999999996
ANGUILLA,0.05,0.18,0.23,-0.13,2020,0.05
ANDORRA,0.05,,,,2021,0.0
AMERI SAMOA,0.05,0.13,0.19,-0.08,2013,0.055
TUVALU,0.06,,,,2013,0.0
TUVALU,0.06,0.01,0.07,0.04,2015,0.05500000000000001
TUVALU,0.06,0,0.06,0.06,2017,0.06
TOKELAU IS,0.06,0.02,0.08,0.03,2001,0.055
ST PIERRE,0.06,0.01,0.07,0.04,2010,0.05500000000000001
SAHARWI A.DM RP,0.06,,,,2008,0.0
PITCAIRN IS.,0.06,,,,1997,0.0
PITCAIRN IS.,0.06,,,,2011,0.0
PITCAIRN IS.,0.06,,,,2013,0.0
PACIFIC IS,0.06,,,,1998,0.0
NORFOLK IS,0.06,0.13,0.19,-0.07,2014,0.06
NEUTRAL ZONE,0.06,,,,2005,0.0
N. MARIANA IS.,0.06,0.15,0.22,-0.09,2013,0.065
MONTSERRAT,0.06,,,,2000,0.0
MONTSERRAT,0.06,0.06,0.11,0,2018,0.055
MONTSERRAT,0.06,,,,2019,0.0
LIECHTENSTEIN,0.06,0.04,0.1,0.01,2009,0.055
HEARD MACDONALD,0.06,,,,2014,0.0
GREENLAND,0.06,0,0.06,0.06,2007,0.06
FR S ANT TR,0.06,0.03,0.09,0.03,2015,0.06
FR GUIANA,0.06,0.39,0.45,-0.33,1997,0.06
FAROE IS.,0.06,0.02,0.07,0.04,2002,0.05500000000000001
FAROE IS.,0.06,0.02,0.09,0.04,2008,0.065
FALKLAND IS,0.06,0,0.06,0.06,2007,0.06
EQUTL GUINEA,0.06,,,,1998,0.0
CHANNEL IS,0.06,,,,2012,0.0
CANARY IS,0.06,,,,2009,0.0
BELIZE,0.06,,,,1998,0.0
ANTARTICA,0.06,0.45,0.51,-0.39,2011,0.06
ANTARTICA,0.06,0.41,0.47,-0.35,2013,0.06
ANDORRA,0.06,0,0.06,0.05,2003,0.055
AMERI SAMOA,0.06,0.06,,,1997,0.0
VATICAN CITY,0.07,0.02,0.09,0.05,2020,0.07
TOKELAU IS,0.07,0.03,0.1,0.04,2005,0.07
ST LUCIA,0.07,,,,1997,0.0
PITCAIRN IS.,0.07,0.01,0.07,0.06,2006,0.065
PANAMA C Z,0.07,44.25,44.32,-44.18,2014,0.07000000000000028
PALAU,0.07,,,,2005,0.0
PALAU,0.07,0.01,0.08,0.06,2014,0.07
PALAU,0.07,0.78,0.85,-0.72,2017,0.065
NAURU RP,0.07,0.4,0.47,-0.32,2007,0.07499999999999998
MONTSERRAT,0.07,0.1,0.17,-0.03,2007,0.07
MONTSERRAT,0.07,0,0.07,0.07,2013,0.07
MONTSERRAT,0.07,,,,2020,0.0
MAYOTTE,0.07,0,0.08,0.07,2017,0.07500000000000001
MARSHALL ISLAND,0.07,0.01,0.07,0.06,2009,0.065
LIECHTENSTEIN,0.07,0,0.07,0.06,1999,0.065
GRENADA,0.07,0,0.08,0.07,1998,0.07500000000000001
COOK IS,0.07,,,,1997,0.0
COOK IS,0.07,0.03,0.1,0.04,2020,0.07
ANTARTICA,0.07,1.22,1.29,-1.14,2021,0.07500000000000007
WALLIS F IS,0.08,0,0.08,0.07,2010,0.07500000000000001
TUVALU,0.08,0.13,0.21,-0.04,2016,0.08499999999999999
ST KITT N A,0.08,,,,2002,0.0
SINT MAARTEN (DUTCH PART),0.08,,,,2019,0.0
SAO TOME,0.08,,,,1998,0.0
PITCAIRN IS.,0.08,,,,2000,0.0
NIUE IS,0.08,,,,2019,0.0
NAURU RP,0.08,15.72,15.8,-15.64,2009,0.08000000000000007
N. MARIANA IS.,0.08,,,,2014,0.0
MONTSERRAT,0.08,,,,2021,0.0
MICRONESIA,0.08,0,0.09,0.08,2008,0.08499999999999999
LESOTHO,0.08,0.01,0.09,0.07,2000,0.08
